GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCTopologyEvent.Type,61,0,0,0,6,0,4,0,4,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCSocketPair,11,0,0,0,4,0,3,0,3,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCErrInfo.ErrorCode,81,0,0,0,6,0,4,0,4,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCTopologySubscription.Flags,67,0,0,0,7,0,5,0,5,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCSocketImpl,14,0,0,0,5,0,3,0,3,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCProtocolFamily,9,0,0,0,2,0,1,0,1,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCTopologyWatcher,209,0,12,0,50,0,23,0,17,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCDatagramSocket,49,0,0,0,11,0,9,0,9,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCTopologyEvent,260,0,22,0,52,0,30,0,19,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCSelectorProvider,70,0,0,0,19,0,17,0,17,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCSocket,116,0,8,0,25,0,21,0,17,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCErrInfo,97,0,14,0,21,0,14,0,7,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCSocketChannel,15,0,0,0,4,0,3,0,3,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCTopologySubscription,359,0,24,0,67,0,32,0,20,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCServerSocket,51,0,0,0,12,0,11,0,11,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCGroupRequest.GroupRequestFlags,22,35,0,0,3,4,3,2,3,2
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCServerSocketChannel,8,0,0,0,3,0,2,0,2,0
junixsocket-codecoverage/junixsocket-tipc,org.newsclub.net.unix.tipc,AFTIPCDatagramChannel,22,0,0,0,6,0,5,0,5,0
junixsocket-codecoverage/junixsocket-jetty,org.newsclub.net.unix.jetty,AFSocketServerConnector,165,373,38,24,52,93,36,30,9,26
junixsocket-codecoverage/junixsocket-jetty,org.newsclub.net.unix.jetty,AFSocketClientConnector.new ClientConnector.ClientSelectorManager() {...},0,18,0,0,0,3,0,2,0,2
junixsocket-codecoverage/junixsocket-jetty,org.newsclub.net.unix.jetty,AFSocketClientConnector.new ClientConnector.Configurator() {...},0,18,0,0,0,3,0,2,0,2
junixsocket-codecoverage/junixsocket-jetty,org.newsclub.net.unix.jetty,AFSocketServerConnector.AFSocketSelectorManager,6,59,0,0,2,16,1,6,1,6
junixsocket-codecoverage/junixsocket-jetty,org.newsclub.net.unix.jetty,AFSocketClientConnector,0,30,0,0,0,6,0,4,0,4
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,RemoteCloseableImpl,0,27,0,2,0,11,0,5,0,4
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,AFRMISocketFactory.PortLease,3,18,0,0,1,7,1,3,1,3
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,AFNamingRef,28,24,8,0,6,5,5,2,1,2
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,AFRegistryAccess,0,40,0,0,0,12,0,7,0,7
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,ShutdownHookSupport,3,69,1,7,1,18,2,6,1,3
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,RemoteFileInput.new FileInputStream() {...},0,21,0,0,0,6,0,2,0,2
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,RemoteFileOutput,12,38,3,3,3,10,3,4,0,4
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,RemotePeerInfo.ExtractingObjectOutput,167,173,32,24,49,50,34,17,10,11
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,RemoteFileDescriptorBase.new AFSocketServer() {...},8,61,1,3,3,16,1,4,0,3
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,AFUNIXRegistry,0,5,0,0,0,2,0,1,0,1
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,AFRMISocketFactory,56,357,11,13,19,100,10,21,2,17
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,RemoteFileInput,7,33,2,2,2,8,2,4,0,4
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,AFRegistry.new RemoteCloseable() {...},2,10,0,0,1,3,1,2,1,2
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,AFRegistry.new ShutdownHookSupport.ShutdownHook() {...},0,10,0,0,0,3,0,2,0,2
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,DefaultRMIClientSocketFactory,20,0,0,0,6,0,5,0,5,0
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,RemoteFileDescriptorBase,72,258,16,18,19,72,14,12,0,9
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,AFNaming,84,447,19,35,27,137,17,38,1,27
junixsocket-codecoverage/junixsocket-rmi,org.newsclub.net.unix.rmi,AFRMISocketFactory.Externables,0,12,0,0,0,5,0,1,0,1
